mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax
W5932355,"$899,000","47 TARRAGONA BLVD
Toronto, Ontario M6N5C2","Above Grade
2","Below Grade
1","Total
2","Community Name
Junction Area","Land Size
20 x 78.84 FT","Annual Property Taxes
$3,406.12"
W5932325,"$1,989,900","33 SHADWICK DR
Toronto, Ontario M9R2V6","Above Grade
4","Below Grade
1","Total
4","Community Name
Kingsview Village-The Westway","Land Size
58.25 x 120 FT","Annual Property Taxes
$7,880.22"
E5932293,"$949,800","82 OAKVALE AVE
Toronto, Ontario M4J1J1","Above Grade
3",,"Total
1","Community Name
Blake-Jones","Land Size
14.83 x 100 FT ; Laneway Access Blocked By Fence","Annual Property Taxes
$4,145.48"
C5932319,"$1,549,000","64 CORNING RD
Toronto, Ontario M2J2M1","Above Grade
4",,"Total
2","Community Name
Don Valley Village","Land Size
50 x 136.59 FT","Annual Property Taxes
$5,788.51"
C5932291,"$1,699,000","37 ROWLEY AVE
Toronto, Ontario M4P2T1","Above Grade
3","Below Grade
1","Total
2","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
34.62 x 100 FT","Annual Property Taxes
$7,210.35"
C5932315,"$6,950,000","154 YONGE BLVD
Toronto, Ontario M5M3H4","Above Grade
4","Below Grade
1","Total
7","Community Name
Bedford Park-Nortown","Land Size
50 x 162 FT ; Slightly Irregular","Annual Property Taxes
$22,003.91"
E5932219,"$3,195,000","43 LEUTY AVE
Toronto, Ontario M4E2R2","Above Grade
4","Below Grade
1","Total
4","Community Name
The Beaches","Land Size
21 x 98.25 FT","Annual Property Taxes
$5,602.99"
W5932089,"$1,198,000","74 THIRTY EIGHTH ST
Toronto, Ontario M8W3M3","Above Grade
3","Below Grade
1","Total
3","Community Name
Long Branch","Land Size
50 x 132 FT","Annual Property Taxes
$5,011.23"
C5931885,"$2,688,000","18A FLORENCE AVE
Toronto, Ontario M2N1E9","Above Grade
3","Below Grade
1","Total
5","Community Name
Lansing-Westgate","Land Size
25 x 130 FT","Annual Property Taxes
$0"
C5931773,"$5,650,000","214 ROSEMARY RD
Toronto, Ontario M5P3E1","Above Grade
4","Below Grade
2","Total
6","Community Name
Forest Hill South","Land Size
40 x 164.66 FT","Annual Property Taxes
$21,529.90"
W5931667,"$1,650,000","51 BURNHAMTHORPE CRES
Toronto, Ontario M9A1G6","Above Grade
4",,"Total
1","Community Name
Islington-City Centre West","Land Size
45 x 247 FT","Annual Property Taxes
$6,016.01"
W5931633,"$999,999","20 PATIKA AVE
Toronto, Ontario M9N2E8","Above Grade
3","Below Grade
1","Total
2","Community Name
Weston","Land Size
40 x 96.5 FT","Annual Property Taxes
$3,185"
E5931563,"$899,000","17 COMPTON DR
Toronto, Ontario M1R4A5","Above Grade
3","Below Grade
2","Total
2","Community Name
Wexford-Maryvale","Land Size
63 x 81.54 FT","Annual Property Taxes
$3,592.76"
W5931419,"$1,344,900","44 LEXFIELD AVE
Toronto, Ontario M3M1M5","Above Grade
3",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
50 x 154.06 FT","Annual Property Taxes
$3,970"
E5931497,"$1,086,000","5 MILLCAR DR
Toronto, Ontario M1B6J5","Above Grade
3","Below Grade
1","Total
4","Community Name
Rouge E11","Land Size
28.54 x 81.2 FT","Annual Property Taxes
$3,677.85"
W5931315,"$869,000","61 TOFIELD CRES
Toronto, Ontario M9W2C1","Above Grade
2","Below Grade
1","Total
2","Community Name
Rexdale-Kipling","Land Size
45 x 114 FT","Annual Property Taxes
$2,938"
E5931241,"$1,099,900","126 CASS AVE
Toronto, Ontario M1T2B6","Above Grade
3","Below Grade
1","Total
2","Community Name
Tam O'Shanter-Sullivan","Land Size
50.08 x 126.98 FT ; Irreg. Lot","Annual Property Taxes
$4,145.48"
E5931243,"$1,299,998","17 PARKINGTON CRES
Toronto, Ontario M1H2T6","Above Grade
4","Below Grade
1","Total
3","Community Name
Woburn","Land Size
49.87 x 110 FT ; None","Annual Property Taxes
$3,886.39"
W5931193,"$799,900","2674 ISLINGTON AVE
Toronto, Ontario M9V2X5","Above Grade
2","Below Grade
1","Total
2","Community Name
Thistletown-Beaumonde Heights","Land Size
53 x 125 FT","Annual Property Taxes
$3,100"
W5931129,"$999,900","2560 LAKE SHORE BLVD W
Toronto, Ontario M8V1G1","Above Grade
3","Below Grade
2","Total
2","Community Name
Mimico","Land Size
52.82 x 86 FT ; 95.34 Ft X 50.07 Ft X 77.87 Ft X 52.82 F","Annual Property Taxes
$4,575.20"
W5931077,"$899,000","15 BURLINGTON ST
Toronto, Ontario M8V2L1","Above Grade
3",,"Total
1","Community Name
Mimico","Land Size
25 x 125 FT","Annual Property Taxes
$3,722"
E5931047,"$999,990","46 MIRAMAR CRES
Toronto, Ontario M1J1R4","Above Grade
3","Below Grade
3","Total
2","Community Name
Bendale","Land Size
41.61 x 126.22 FT","Annual Property Taxes
$3,576.70"
E5931159,"$999,000","53 FARMHILL CRT
Toronto, Ontario M1B2M1","Above Grade
3",,"Total
4","Community Name
Rouge E11","Land Size
45 x 101.74 FT","Annual Property Taxes
$3,665.21"
W5931011,"$1,650,000","12 SHERIN CRT
Toronto, Ontario M9P2G8","Above Grade
3","Below Grade
1","Total
3","Community Name
Kingsview Village-The Westway","Land Size
32.67 x 149.5 FT ; Irregular Ravine Lot","Annual Property Taxes
$6,256.13"
W5930985,"$1,598,000","40 FLORAL PKWY
Toronto, Ontario M6L2B5","Above Grade
4","Below Grade
1","Total
5","Community Name
Maple Leaf","Land Size
36.52 x 187 FT","Annual Property Taxes
$3,753.68"
40379964,"$899,000","15 BURLINGTON Street
Etobicoke, Ontario M8V2L1","Above Grade
3",,"Total
1",,"Land Size
under 1/2 acre",
W5930861,"$1,399,900","488A MCROBERTS AVE
Toronto, Ontario M6E4R4","Above Grade
4",,"Total
4","Community Name
Caledonia-Fairbank","Land Size
18.04 x 142.18 FT","Annual Property Taxes
$0"
C5930845,"$1,482,000","62 WILLESDEN RD
Toronto, Ontario M2H1V7","Above Grade
3","Below Grade
2","Total
4","Community Name
Hillcrest Village","Land Size
50 x 120 FT","Annual Property Taxes
$4,177.07"
W5930655,"$1,199,000","81 MILADY RD
Toronto, Ontario M9L2H9","Above Grade
3","Below Grade
3","Total
4","Community Name
Humber Summit","Land Size
31.7 x 126.79 FT","Annual Property Taxes
$2,430"
E5930493,"$1,188,888","16 DEERFIELD PL
Toronto, Ontario M1K4X4","Above Grade
3","Below Grade
1","Total
3","Community Name
Bendale","Land Size
43.4 x 134.75 FT ; Pie-Shaped- R-123.08', N-88.50'","Annual Property Taxes
$3,741"
C5930443,"$1,689,000","153 ARLINGTON AVE
Toronto, Ontario M6C2Z3","Above Grade
3",,"Total
3","Community Name
Humewood-Cedarvale","Land Size
20.36 x 136.87 FT","Annual Property Taxes
$5,036.50"
C5930231,"$1,299,000","18 CADILLAC AVE
Toronto, Ontario M3H1R9","Above Grade
3","Below Grade
2","Total
4","Community Name
Clanton Park","Land Size
50 x 120 FT","Annual Property Taxes
$3,804.23"
E5930001,"$1,099,000","43 BAINHART CRES
Toronto, Ontario M1H2R4","Above Grade
3","Below Grade
1","Total
2","Community Name
Woburn","Land Size
40.11 x 108.66 FT","Annual Property Taxes
$3,671.89"
W5930169,"$1,199,900","8 WARDLAW CRES
Toronto, Ontario M9V1L2","Above Grade
4","Below Grade
2","Total
3","Community Name
Thistletown-Beaumonde Heights","Land Size
20.53 x 43.05 M ; Irrg As Per Survey, Attached 2012","Annual Property Taxes
$3,639.93"
W5929999,"$2,999,999","26 HILL GARDEN RD
Toronto, Ontario M9P1X9","Above Grade
4","Below Grade
2","Total
5","Community Name
Humber Heights","Land Size
60 x 118 FT","Annual Property Taxes
$4,303.46"
C5930013,"$2,488,000","66 ABITIBI AVE
Toronto, Ontario M2M2V4","Above Grade
4","Below Grade
1","Total
5","Community Name
Newtonbrook East","Land Size
40 x 122.5 FT","Annual Property Taxes
$10,148.85"
C5929855,"$2,998,000","204 RANLEIGH AVE
Toronto, Ontario M4N1X4","Above Grade
4","Below Grade
1","Total
5","Community Name
Lawrence Park North","Land Size
25.52 x 148.19 FT","Annual Property Taxes
$11,298.96"
E5929789,"$1,399,000","49 MANDERLEY DR
Toronto, Ontario M1N3E8","Above Grade
3","Below Grade
1","Total
3","Community Name
Birchcliffe-Cliffside","Land Size
32 x 100 FT","Annual Property Taxes
$4,499.36"
E5929823,"$999,888","492 HUNTINGWOOD DR
Toronto, Ontario M1W1G4","Above Grade
3",,"Total
3","Community Name
L'Amoreaux","Land Size
50 x 115 FT ; *See Schedule B - Full Legal Description","Annual Property Taxes
$4,998.59"
E5929843,"$2,249,000","374 BEECHGROVE DR
Toronto, Ontario M1E4A5","Above Grade
4","Below Grade
2","Total
5","Community Name
West Hill","Land Size
41.21 x 144.78 FT ; ***Rp66R23956 As Per Registered Deed","Annual Property Taxes
$6,123.43"
E5929643,"$1,349,900","581 MEADOWVALE RD
Toronto, Ontario M1C1S9","Above Grade
4",,"Total
3","Community Name
Highland Creek","Land Size
50 x 172.49 FT","Annual Property Taxes
$6,091"
E5929535,"$1,375,000","2086 PHARMACY AVE
Toronto, Ontario M1W1H8","Above Grade
4",,"Total
4","Community Name
L'Amoreaux","Land Size
66.07 x 180.04 FT ; 180.05 Ft X 66.07 Ft X 180.04 Ft X 66.07","Annual Property Taxes
$6,433"
C5929591,"$3,388,000","215 WILFRED AVE
Toronto, Ontario M2N5E2","Above Grade
4","Below Grade
1","Total
5","Community Name
Willowdale East","Land Size
39.75 x 200 FT ; Backyrd Oasis!! Pool,Fencd,Deckd,Gated!","Annual Property Taxes
$19,500"
C5929419,"$7,690,000","65 HILLHURST BLVD
Toronto, Ontario M5N1N5","Above Grade
4","Below Grade
1","Total
7","Community Name
Lawrence Park South","Land Size
50 x 133.75 FT","Annual Property Taxes
$21,915.43"
40377609,"$1,999,900","233 RHODES Avenue
Toronto, Ontario M4L3A2","Above Grade
4",,"Total
4",,"Land Size
under 1/2 acre",
W5929293,"$999,999","20 MERCURY RD
Toronto, Ontario M9W3H5","Above Grade
3",,"Total
1","Community Name
Rexdale-Kipling","Land Size
45 x 122 FT ; Rectangular","Annual Property Taxes
$3,241.82"
W5929133,"$949,900","34 EDMUND AVE
Toronto, Ontario M9N1A4","Above Grade
4",,"Total
2","Community Name
Weston","Land Size
43.42 x 112 FT","Annual Property Taxes
$3,158.94"
E5929337,"$1,168,000","47 FRANK RIVERS DR
Toronto, Ontario M1W3R9","Above Grade
3","Below Grade
2","Total
5","Community Name
Steeles","Land Size
25.43 x 111.97 FT","Annual Property Taxes
$3,849"
E5929131,"$899,000","748 PHARMACY AVE
Toronto, Ontario M1L3J9","Above Grade
3","Below Grade
1","Total
2","Community Name
Clairlea-Birchmount","Land Size
45 x 130 FT","Annual Property Taxes
$3,458.34"
C5929289,"$10,700,000",Address not available,"Above Grade
7","Below Grade
1","Total
10","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
137.66 x 117.45 FT ; Pie-Shpd:171.45' Bck Widen/Park-Like:Sur","Annual Property Taxes
$31,536.90"
C5929175,"$2,998,000","369 HILLCREST AVE
Toronto, Ontario M2N3P9","Above Grade
5",,"Total
4","Community Name
Willowdale East","Land Size
50 x 131.21 FT ; South-Close To Subway/B.V Village Mall","Annual Property Taxes
$12,588.11"
C5929135,"$2,953,000","115 HARRISON ST
Toronto, Ontario M6J2A2","Above Grade
3","Below Grade
1","Total
4","Community Name
Trinity-Bellwoods","Land Size
16.58 x 137 FT","Annual Property Taxes
$0"
C5929083,"$1,499,900","202 MAXOME AVE
Toronto, Ontario M2M3L2","Above Grade
3","Below Grade
2","Total
2","Community Name
Newtonbrook East","Land Size
50 x 160 FT ; Approx. 8000 Sf, No Survey","Annual Property Taxes
$7,197.71"
40359302,"$999,999","20 MERCURY Road
Etobicoke, Ontario M9W3H5","Above Grade
3",,"Total
1",,"Land Size
under 1/2 acre",
E5928795,"$899,000","1300 KINGSTON RD
Toronto, Ontario M1N1P5","Above Grade
2","Below Grade
1","Total
2","Community Name
Birchcliffe-Cliffside","Land Size
30.5 x 110 FT","Annual Property Taxes
$3,816.87"
C5928835,"$1,888,000","188 KINGSDALE AVE
Toronto, Ontario M2N3W9","Above Grade
3","Below Grade
1","Total
2","Community Name
Willowdale East","Land Size
42 x 101 FT","Annual Property Taxes
$6,305.65"
C5928857,"$1,299,000","16 ARCHER ST
Toronto, Ontario M6H1J2","Above Grade
4",,"Total
2","Community Name
Dufferin Grove","Land Size
20 x 75 FT","Annual Property Taxes
$4,720.54"
E5928705,"$799,000","7 MASON RD
Toronto, Ontario M1M3P9","Above Grade
3","Below Grade
1","Total
3","Community Name
Scarborough Village","Land Size
30 FT ; 3.71 Ft X 87.68 Ft X 30.03 Ft X 87.69 Ft","Annual Property Taxes
$3,216.53"
C5928715,"$999,900","31 HINES DR
Toronto, Ontario M2H2M2","Above Grade
3","Below Grade
1","Total
3","Community Name
Hillcrest Village","Land Size
30.1 x 119.7 FT","Annual Property Taxes
$4,183.39"
C5928691,"$4,999,000","21 KILLDEER CRES
Toronto, Ontario M4G2W7","Above Grade
5",,"Total
5","Community Name
Leaside","Land Size
60 x 150 FT ; Widens To 75 - See Survey","Annual Property Taxes
$14,598.75"
C5928681,"$1,988,800",Address not available,"Above Grade
3","Below Grade
2","Total
3","Community Name
Parkwoods-Donalda","Land Size
62.5 x 120 FT","Annual Property Taxes
$6,704.81"
40380522,"$799,000","7 MASON Road
Toronto, Ontario M1M3P9","Above Grade
3","Below Grade
1","Total
3",,"Land Size
under 1/2 acre",
E5928639,"$1,690,000","326 STRATHMORE BLVD
Toronto, Ontario M4J1P8","Above Grade
3","Below Grade
1","Total
2","Community Name
Danforth","Land Size
39 x 122 FT","Annual Property Taxes
$6,161.35"
E5928613,"$1,028,000","70 SUNMOUNT RD
Toronto, Ontario M1T2A6","Above Grade
3","Below Grade
2","Total
3","Community Name
Tam O'Shanter-Sullivan","Land Size
46 x 117 FT","Annual Property Taxes
$4,389.57"
C5928611,"$1,899,000","11 HIGHVIEW CRES
Toronto, Ontario M6H2Y3","Above Grade
3",,"Total
2","Community Name
Wychwood","Land Size
33 x 87.66 FT ; See Survey Attached","Annual Property Taxes
$6,417.51"
C5928637,"$1,688,000","30 KELLYTHORNE DR
Toronto, Ontario M3A2L4","Above Grade
4","Below Grade
2","Total
2","Community Name
Parkwoods-Donalda","Land Size
63.08 x 139.58 FT","Annual Property Taxes
$6,382.53"
E5928575,"$1,499,900","123 CHINE DR
Toronto, Ontario M1M2K8","Above Grade
6","Below Grade
1","Total
3","Community Name
Cliffcrest","Land Size
50 x 150 FT","Annual Property Taxes
$4,682"
E5928347,"$1,899,000","33 WAVERLEY RD
Toronto, Ontario M4L3T2","Above Grade
3",,"Total
2","Community Name
The Beaches","Land Size
26 x 115 FT","Annual Property Taxes
$7,147.16"
C5928337,"$2,748,000","44 GARNIER CRT
Toronto, Ontario M2M4C9","Above Grade
4","Below Grade
1","Total
5","Community Name
Bayview Woods-Steeles","Land Size
60 x 125.63 FT","Annual Property Taxes
$10,035.10"
W5928265,"$1,999,999","60 NORSEMAN ST
Toronto, Ontario M8Z2P8",,,"Total
0","Community Name
Stonegate-Queensway","Land Size
79.99 x 125 FT ; **Plan 66R28535;City Of Toronto","Annual Property Taxes
$12,385.89"
