mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax
C5736614,"$1,489,000","139 CHRISTIE ST
Toronto, Ontario M6G3B3","Above Grade
2",,"Total
1","Community Name
Annex","Land Size
17.17 x 130 FT","Annual Property Taxes
$5,143.65"
C5738422,"$20,000,000","20 HIGH POINT RD
Toronto, Ontario M3B2A4","Above Grade
5","Below Grade
1","Total
10","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
315 x 414 FT|2 - 4.99 acres","Annual Property Taxes
$22,243"
W5745842,"$1,189,000","7 BOOT TERR
Toronto, Ontario M3J0A1","Above Grade
4","Below Grade
2","Total
5","Community Name
York University Heights","Land Size
20.04 x 100.18 FT","Annual Property Taxes
$4,448.81"
C5745952,"$29,800,000","88 FOREST HEIGHTS BLVD
Toronto, Ontario M2L2K8","Above Grade
6","Below Grade
1","Total
11","Community Name
St. Andrew-Windfields","Land Size
100 x 289 FT","Annual Property Taxes
$60,000"
W5747838,"$1,168,000","316 SILVERTHORN AVE
Toronto, Ontario M6N3K6","Above Grade
3","Below Grade
1","Total
2","Community Name
Weston-Pellam Park","Land Size
25 x 116 FT","Annual Property Taxes
$3,045.92"
C5752376,"$6,000,000","1 COUNTRY LANE
Toronto, Ontario M2L1E1","Above Grade
2","Below Grade
1","Total
3","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
99.95 x 164.93 FT|1/2 - 1.99 acres","Annual Property Taxes
$11,100"
C5757136,"$8,995,000","3 PURLING PL
Toronto, Ontario M3B1V4","Above Grade
4","Below Grade
1","Total
7","Community Name
Banbury-Don Mills","Land Size
113.12 x 154.16 FT ; As Per Mpac F88+24.95 W 145.56 E 163.16R","Annual Property Taxes
$27,471.14"
C5761593,"$16,595,000","2 CASTLE FRANK RD
Toronto, Ontario M4W2Z4","Above Grade
7",,"Total
9","Community Name
Rosedale-Moore Park","Land Size
75 x 194 FT ; Lot Irreg","Annual Property Taxes
$32,639.34"
C5761606,"$6,999,000","37 WILKET RD
Toronto, Ontario M2L1N9","Above Grade
4","Below Grade
1","Total
4","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
77.65 x 148.53 FT|1/2 - 1.99 acres","Annual Property Taxes
$18,281.50"
W5762342,"$1,499,000","2942 LAKE SHORE BLVD W
Toronto, Ontario M8V1J6","Above Grade
1",,"Total
3","Community Name
New Toronto","Land Size
16.25 x 97.5 FT","Annual Property Taxes
$8,600.90"
C5767683,"$4,480,000","142 UPPER CANADA DR
Toronto, Ontario M2P1S8","Above Grade
4","Below Grade
1","Total
6","Community Name
St. Andrew-Windfields","Land Size
60 x 150 FT","Annual Property Taxes
$13,643.43"
W5767541,"$1,100,000","144 WINSTON PARK BLVD
Toronto, Ontario M3K1C5","Above Grade
3",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
52 x 120 FT","Annual Property Taxes
$4,164.44"
C5769040,"$28,000,000","30 HIGH POINT RD
Toronto, Ontario M3C2R3","Above Grade
8",,"Total
12","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
200 x 479.38 FT ; 2.12 Acres, Irregular As Per 1988 Survey|2 - 4.99 acres","Annual Property Taxes
$36,383.51"
C5773462,"$6,300,000","38 SALONICA RD
Toronto, Ontario M3C2L9","Above Grade
3",,"Total
3","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
135.43 x 145.32 FT","Annual Property Taxes
$16,928.20"
C5774866,"$8,880,000","51 HAZELTON AVE
Toronto, Ontario M5R2E3","Above Grade
4",,"Total
5","Community Name
Annex","Land Size
24.17 x 147.67 FT","Annual Property Taxes
$22,629.52"
C5779335,"$3,688,000","654 QUEEN ST W
Toronto, Ontario M6J1E5","Above Grade
3",,"Total
4","Community Name
Trinity-Bellwoods","Land Size
14.83 x 107.33 FT","Annual Property Taxes
$23,644.19"
W5781750,"$1,800,000","22 ABBS ST
Toronto, Ontario M6K1M6","Above Grade
3",,"Total
3","Community Name
Roncesvalles","Land Size
25 x 93.37 FT","Annual Property Taxes
$4,700"
C5782942,"$4,100,000","321 MAPLEHURST AVE
Toronto, Ontario M2N3C7","Above Grade
4","Below Grade
1","Total
6","Community Name
Willowdale East","Land Size
50 x 120 FT ; Fantastic South Facing Regular Lot","Annual Property Taxes
$17,182.25"
W5783148,"$1,489,000","7 UPMINSTER CRES
Toronto, Ontario M9B5W1","Above Grade
3",,"Total
1","Community Name
Eringate-Centennial-West Deane","Land Size
46.37 x 120 FT ; Widens At Rear","Annual Property Taxes
$4,910.12"
C5784239,"$9,650,000","82 LOWTHER AVE
Toronto, Ontario M5R1E1","Above Grade
5","Below Grade
2","Total
4","Community Name
Annex","Land Size
50 x 150 FT","Annual Property Taxes
$20,683.17"
W5784571,"$980,000","54 FIFTEENTH ST
Toronto, Ontario M8V3J4","Above Grade
2","Below Grade
1","Total
2","Community Name
New Toronto","Land Size
25 x 120.53 FT","Annual Property Taxes
$3,481.95"
C5784796,"$4,249,000","37 NANTON AVE
Toronto, Ontario M4W2Y8","Above Grade
4",,"Total
4","Community Name
Rosedale-Moore Park","Land Size
35 x 150 FT","Annual Property Taxes
$17,169.62"
C5785758,"$6,799,000","37 MADISON AVE
Toronto, Ontario M5R2S2",,,"Total
4","Community Name
Annex","Land Size
44.16 x 126 FT","Annual Property Taxes
$60,911.22"
C5789337,"$3,590,000","366B GREENFIELD AVE
Toronto, Ontario M2N3E8","Above Grade
3","Below Grade
1","Total
5","Community Name
Willowdale East","Land Size
50.49 x 80.08 FT","Annual Property Taxes
$0"
C5789735,"$6,580,000","8 SHADY OAKS CRES
Toronto, Ontario M3C2L5","Above Grade
5","Below Grade
2","Total
7","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
105 x 150.71 FT","Annual Property Taxes
$28,967.81"
C5789878,"$2,180,000","124 BARSE ST
Toronto, Ontario M5M4L4","Above Grade
4","Below Grade
1","Total
3","Community Name
Bedford Park-Nortown","Land Size
43 x 152 FT","Annual Property Taxes
$6,500"
C5790164,"$12,800,000","38 SALONICA RD
Toronto, Ontario M3C2L9","Above Grade
5","Below Grade
3","Total
11","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
135.43 x 145.32 FT","Annual Property Taxes
$16,928.20"
C5790168,"$5,580,000","54 FAIRMEADOW AVE
Toronto, Ontario M2P1W7","Above Grade
5","Below Grade
2","Total
8","Community Name
St. Andrew-Windfields","Land Size
60 x 125 FT","Annual Property Taxes
$14,493.23"
C5792532,"$3,885,000","33 BEACONSFIELD AVE
Toronto, Ontario M6J3J1","Above Grade
4","Below Grade
2","Total
5","Community Name
Little Portugal","Land Size
27.83 x 125.08 FT","Annual Property Taxes
$9,832.88"
W5793177,"$1,459,999","77 SALEM AVE
Toronto, Ontario M6H3C2","Above Grade
5","Below Grade
1","Total
3","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
22.5 x 131 FT","Annual Property Taxes
$6,072.88"
C5793777,"$5,500,000","2 VALLEYANNA DR
Toronto, Ontario M4N1J8","Above Grade
5",,"Total
3","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
126.79 x 255 FT ; As Per Survey","Annual Property Taxes
$12,632.34"
E5798819,"$1,249,000","298 AYLESWORTH AVE
Toronto, Ontario M1N2K2","Above Grade
3",,"Total
4","Community Name
Birchcliffe-Cliffside","Land Size
25 x 139.63 FT ; Regular","Annual Property Taxes
$3,939.14"
E5799037,"$2,000,000","717 COXWELL AVE
Toronto, Ontario M4C3C1","Above Grade
2","Below Grade
2","Total
3","Community Name
Danforth","Land Size
30 x 108 FT","Annual Property Taxes
$9,624.17"
C5799534,"$2,695,000","657 BLOOR ST W
Toronto, Ontario M6G1L1","Above Grade
5",,"Total
1","Community Name
Palmerston-Little Italy","Land Size
19.46 x 119 FT","Annual Property Taxes
$6,104.47"
40338739,"$1,388,000","31 ISLAY Court
Toronto, Ontario M9M1V4","Above Grade
3","Below Grade
1","Total
2",,"Land Size
0.367 ac|under 1/2 acre",
W5800026,"$1,388,000","31 ISLAY CRT
Toronto, Ontario M9M1V4","Above Grade
3","Below Grade
1","Total
2","Community Name
Humbermede","Land Size
34.99 x 225.77 FT ; (Irregular - Approximately 0.367 Acres)","Annual Property Taxes
$4,246.54"
W5800786,"$1,705,000","259 BERRY RD
Toronto, Ontario M8Y1X8","Above Grade
3",,"Total
2","Community Name
Stonegate-Queensway","Land Size
35 x 100 FT","Annual Property Taxes
$4,682.63"
W5802289,"$3,188,800","117 PERRY CRES
Toronto, Ontario M9A1K5","Above Grade
5","Below Grade
2","Total
4","Community Name
Princess-Rosethorn","Land Size
64 x 116.2 FT","Annual Property Taxes
$11,091"
E5802813,"$1,195,000","1273 GERRARD ST E
Toronto, Ontario M4L1Y5","Above Grade
5","Below Grade
1","Total
3","Community Name
South Riverdale","Land Size
16.08 x 110 FT","Annual Property Taxes
$4,606.79"
C5803730,"$3,880,000","97 PARKVIEW AVE
Toronto, Ontario M2N3Y4","Above Grade
4","Below Grade
1","Total
5","Community Name
Willowdale East","Land Size
35 x 122 FT","Annual Property Taxes
$12,200"
E5805765,"$2,999,900","270-272 FLOYD AVE
Toronto, Ontario M4J2J3","Above Grade
4","Below Grade
2","Total
3","Community Name
East York","Land Size
60 x 107.85 FT","Annual Property Taxes
$8,688.61"
C5806534,"$4,190,000","255 SPRING GARDEN AVE
Toronto, Ontario M2N3H1","Above Grade
4","Below Grade
1","Total
6","Community Name
Willowdale East","Land Size
50 x 120 FT","Annual Property Taxes
$14,458"
W5814289,"$1,249,000","49 WILLIAM CRAGG DR
Toronto, Ontario M3M1T8","Above Grade
3",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
50 x 120 FT","Annual Property Taxes
$3,734.73"
C5815622,"$1,895,000","755 MANNING AVE
Toronto, Ontario M6G2W5","Above Grade
4",,"Total
3","Community Name
Annex","Land Size
17.33 x 100 FT","Annual Property Taxes
$4,647.70"
C5815610,"$4,998,000","905 QUEEN ST W
Toronto, Ontario M6J1G5","Above Grade
2",,"Total
4","Community Name
Niagara","Land Size
0.07 Acre ; Irregular","Annual Property Taxes
$8,878.66"
C5816902,"$7,360,000","11 DEWBOURNE AVE
Toronto, Ontario M5P1Z3","Above Grade
5",,"Total
8","Community Name
Forest Hill South","Land Size
60 x 120 FT","Annual Property Taxes
$25,365.79"
C5816901,"$3,650,000","26 HARRISON RD
Toronto, Ontario M2L1V4","Above Grade
4",,"Total
3","Community Name
St. Andrew-Windfields","Land Size
90 x 125 FT","Annual Property Taxes
$12,847.20"
C5817514,"$2,480,000","33 URBANDALE AVE
Toronto, Ontario M2M2G9","Above Grade
3","Below Grade
3","Total
2","Community Name
Newtonbrook East","Land Size
77 x 136.37 FT","Annual Property Taxes
$6,386.83"
E5817508,"$2,100,000","56 CEDAR BRAE BLVD
Toronto, Ontario M1J2K5","Above Grade
4","Below Grade
2","Total
5","Community Name
Eglinton East","Land Size
50.22 x 250.2 FT","Annual Property Taxes
$6,104.99"
C5817685,"$2,250,000","134 UPPER CANADA DR
Toronto, Ontario M2P1S4","Above Grade
2","Below Grade
1","Total
2","Community Name
St. Andrew-Windfields","Land Size
64.43 x 162.71 FT ; Irregular","Annual Property Taxes
$4,033.71"
W5817722,"$1,299,000","11 WESTBANK CRES
Toronto, Ontario M9P1S4","Above Grade
3","Below Grade
1","Total
2","Community Name
Humber Heights","Land Size
50 x 152 FT","Annual Property Taxes
$4,669.98"
W5818206,"$889,000","14 BRIGHAM CRT
Toronto, Ontario M9W1T8","Above Grade
3","Below Grade
1","Total
2","Community Name
Elms-Old Rexdale","Land Size
30 x 120 FT","Annual Property Taxes
$2,786.63"
W5820197,"$1,889,900","#40 B -23 INNES AVE
Toronto, Ontario M6E4P3","Above Grade
3",,"Total
5","Community Name
Corso Italia-Davenport","Land Size
15.91 x 61.94 FT","Annual Property Taxes
$0"
W5820209,"$1,889,900","#39 A -21 INNES AVE
Toronto, Ontario M6E4P3","Above Grade
3",,"Total
5","Community Name
Corso Italia-Davenport","Land Size
15.91 x 61.94 FT","Annual Property Taxes
$0"
W5814289,"$1,249,000","49 WILLIAM CRAGG DR
Toronto, Ontario M3M1T8","Above Grade
3",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
50 x 120 FT","Annual Property Taxes
$3,734.73"
C5815622,"$1,895,000","755 MANNING AVE
Toronto, Ontario M6G2W5","Above Grade
4",,"Total
3","Community Name
Annex","Land Size
17.33 x 100 FT","Annual Property Taxes
$4,647.70"
C5815610,"$4,998,000","905 QUEEN ST W
Toronto, Ontario M6J1G5","Above Grade
2",,"Total
4","Community Name
Niagara","Land Size
0.07 Acre ; Irregular","Annual Property Taxes
$8,878.66"
C5816902,"$7,360,000","11 DEWBOURNE AVE
Toronto, Ontario M5P1Z3","Above Grade
5",,"Total
8","Community Name
Forest Hill South","Land Size
60 x 120 FT","Annual Property Taxes
$25,365.79"
C5816901,"$3,650,000","26 HARRISON RD
Toronto, Ontario M2L1V4","Above Grade
4",,"Total
3","Community Name
St. Andrew-Windfields","Land Size
90 x 125 FT","Annual Property Taxes
$12,847.20"
C5817514,"$2,480,000","33 URBANDALE AVE
Toronto, Ontario M2M2G9","Above Grade
3","Below Grade
3","Total
2","Community Name
Newtonbrook East","Land Size
77 x 136.37 FT","Annual Property Taxes
$6,386.83"
E5817508,"$2,100,000","56 CEDAR BRAE BLVD
Toronto, Ontario M1J2K5","Above Grade
4","Below Grade
2","Total
5","Community Name
Eglinton East","Land Size
50.22 x 250.2 FT","Annual Property Taxes
$6,104.99"
C5817685,"$2,250,000","134 UPPER CANADA DR
Toronto, Ontario M2P1S4","Above Grade
2","Below Grade
1","Total
2","Community Name
St. Andrew-Windfields","Land Size
64.43 x 162.71 FT ; Irregular","Annual Property Taxes
$4,033.71"
W5817722,"$1,299,000","11 WESTBANK CRES
Toronto, Ontario M9P1S4","Above Grade
3","Below Grade
1","Total
2","Community Name
Humber Heights","Land Size
50 x 152 FT","Annual Property Taxes
$4,669.98"
W5818206,"$889,000","14 BRIGHAM CRT
Toronto, Ontario M9W1T8","Above Grade
3","Below Grade
1","Total
2","Community Name
Elms-Old Rexdale","Land Size
30 x 120 FT","Annual Property Taxes
$2,786.63"
W5820197,"$1,889,900","#40 B -23 INNES AVE
Toronto, Ontario M6E4P3","Above Grade
3",,"Total
5","Community Name
Corso Italia-Davenport","Land Size
15.91 x 61.94 FT","Annual Property Taxes
$0"
W5820209,"$1,889,900","#39 A -21 INNES AVE
Toronto, Ontario M6E4P3","Above Grade
3",,"Total
5","Community Name
Corso Italia-Davenport","Land Size
15.91 x 61.94 FT","Annual Property Taxes
$0"
E5821563,"$899,900","93 SUDBURY HALL DR
Toronto, Ontario M1B3H5","Above Grade
3","Below Grade
1","Total
3","Community Name
Rouge E11","Land Size
30.2 x 105.19 FT","Annual Property Taxes
$3,077"
E5821955,"$4,950,000","29 FALLINGBROOK DR
Toronto, Ontario M1N1B3","Above Grade
4",,"Total
4","Community Name
Birchcliffe-Cliffside","Land Size
60 x 229.37 FT ; Irregular As Per Survey","Annual Property Taxes
$10,000"
C5822606,"$3,980,000","283 DUNFOREST AVE
Toronto, Ontario M2N4K1","Above Grade
5","Below Grade
2","Total
8","Community Name
Willowdale East","Land Size
62.5 x 135.66 FT ; Extra Wide Lot","Annual Property Taxes
$18,540.90"
C5823239,"$1,949,000","216 BROOKE AVE
Toronto, Ontario M5M2K6","Above Grade
3",,"Total
2","Community Name
Bedford Park-Nortown","Land Size
35.84 x 130.13 FT ; 17.45Ft. Rear X 131.68Ft. West","Annual Property Taxes
$6,565.78"
E5823595,"$1,188,000","135 ROEBUCK DR
Toronto, Ontario M1K2H9","Above Grade
3",,"Total
2","Community Name
Kennedy Park","Land Size
40 x 144 FT ; Pie Shape-Irregular","Annual Property Taxes
$3,354"
C5823898,"$1,338,000","187 ROBERT HICKS DR
Toronto, Ontario M2R3R3","Above Grade
3","Below Grade
1","Total
4","Community Name
Westminster-Branson","Land Size
25.88 x 100.25 FT","Annual Property Taxes
$4,252.91"
40348362,"$1,289,000","15 HILLBECK Crescent
Toronto, Ontario M1B2M8","Above Grade
3",,"Total
2",,"Land Size
under 1/2 acre",
C5824087,"$2,598,000","261 PARK HOME AVE
Toronto, Ontario M2R1A1","Above Grade
4","Below Grade
1","Total
5","Community Name
Willowdale West","Land Size
50 x 131.72 FT","Annual Property Taxes
$12,423"
E5823961,"$1,289,000","15 HILLBECK CRES
Toronto, Ontario M1B2M8","Above Grade
3",,"Total
3","Community Name
Rouge E11","Land Size
40.04 x 100.11 FT","Annual Property Taxes
$3,658.89"
W5824429,"$2,199,888","6 BRAYWIN DR
Toronto, Ontario M9P2P1","Above Grade
6",,"Total
6","Community Name
Kingsview Village-The Westway","Land Size
56.14 x 128 FT","Annual Property Taxes
$5,662.12"
40348746,"$1,280,000","216 JEFFCOAT Drive
Etobicoke, Ontario M9W3C9","Above Grade
3","Below Grade
1","Total
2",,"Land Size
under 1/2 acre",
W5824726,"$1,280,000","216 JEFFCOAT DR
Toronto, Ontario M9W3C9","Above Grade
3","Below Grade
1","Total
2","Community Name
Rexdale-Kipling","Land Size
55 x 100 FT","Annual Property Taxes
$3,399.80"
C5826938,"$1,188,000","473 VAUGHAN RD
Toronto, Ontario M6C2P5","Above Grade
2","Below Grade
4","Total
2","Community Name
Oakwood Village","Land Size
35.69 x 85 FT ; Rear 27.24 Ft, East 105.67 Ft","Annual Property Taxes
$3,425"
C5826962,"$1,188,000","471 VAUGHAN RD
Toronto, Ontario M6C2P5","Above Grade
2","Below Grade
3","Total
3","Community Name
Oakwood Village","Land Size
40 x 89.5 FT","Annual Property Taxes
$3,171"
W5826874,"$1,428,800","52A TREEVIEW DR
Toronto, Ontario M8W4C2","Above Grade
4",,"Total
4","Community Name
Alderwood","Land Size
26.74 x 140.29 FT","Annual Property Taxes
$4,669.98"
W5827885,"$1,099,000","11 SUNNYBRAE CRES
Toronto, Ontario M6M4W6","Above Grade
3",,"Total
2","Community Name
Mount Dennis","Land Size
30 x 146.86 FT ; Irregular Per 1990 Survey Sketch","Annual Property Taxes
$2,982.73"
W5827990,"$890,000","2142 SHEPPARD AVE W
Toronto, Ontario M3N1A5","Above Grade
3","Below Grade
1","Total
2","Community Name
Glenfield-Jane Heights","Land Size
30.47 x 108 FT","Annual Property Taxes
$2,896.20"
C5828659,"$2,465,000","76 PRINCESS AVE
Toronto, Ontario M2N3R6","Above Grade
2","Below Grade
2","Total
2","Community Name
Willowdale East","Land Size
50 x 130.25 FT ; *6512.5 Sqft. Site Area*South Facing*","Annual Property Taxes
$9,643.29"
C5830002,"$3,898,900","388 ELM RD
Toronto, Ontario M5M3W1","Above Grade
4","Below Grade
1","Total
5","Community Name
Lawrence Park North","Land Size
30 x 105 FT","Annual Property Taxes
$7,292.51"
W5830332,"$1,788,000","74 THIRTEENTH ST
Toronto, Ontario M8V3H6","Above Grade
3","Below Grade
2","Total
3","Community Name
New Toronto","Land Size
25 x 112 FT ; Backing Onto A Park!","Annual Property Taxes
$4,032.69"
C5831018,"$11,995,000","33 GREEN VALLEY RD
Toronto, Ontario M2P1A4","Above Grade
5","Below Grade
1","Total
9","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
75 x 287.15 FT ; E Depth 234' Lt Depth Ends Within River","Annual Property Taxes
$42,421.66"
C5831022,"$5,799,888","61 HIGHLAND CRES
Toronto, Ontario M2L1G7","Above Grade
2","Below Grade
1","Total
2","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
64.53 x 501.53 FT ; 61.78X501.53X54.17X545.18","Annual Property Taxes
$11,437.98"
E5831157,"$1,000,000","470 DONLANDS AVE
Toronto, Ontario M4J3S5","Above Grade
3","Below Grade
1","Total
2","Community Name
East York","Land Size
25.65 x 110.91 FT","Annual Property Taxes
$2,025.51"
E5831323,"$2,050,000","18 ROSEMOUNT DR
Toronto, Ontario M1K2W8","Above Grade
4","Below Grade
2","Total
3","Community Name
Ionview","Land Size
50 x 427.75 FT ; *Sc406241,Sc160072 Scarborough-Toronto","Annual Property Taxes
$4,239.95"
W5831546,"$1,699,000","1 ALLANHURST DR
Toronto, Ontario M9A4J4","Above Grade
3","Below Grade
1","Total
3","Community Name
Edenbridge-Humber Valley","Land Size
50 FT ; 24.63X24.63X18.59X97.23X60.15","Annual Property Taxes
$5,181.39"
C5832244,"$9,995,000","60 DUNVEGAN RD
Toronto, Ontario M4V2P7","Above Grade
8",,"Total
8","Community Name
Casa Loma","Land Size
60 x 173.91 FT","Annual Property Taxes
$33,922.16"
E5832500,"$1,229,900","7 MISTHOLLOW SQ
Toronto, Ontario M1E4P3","Above Grade
4",,"Total
2","Community Name
Morningside","Land Size
55 x 110 FT","Annual Property Taxes
$3,275.03"
C5833319,"$1,549,000","57 WINNETT AVE
Toronto, Ontario M6C3L2","Above Grade
4","Below Grade
2","Total
4","Community Name
Humewood-Cedarvale","Land Size
25 x 103 FT ; Right Of Way Off Of Hursting Ave.","Annual Property Taxes
$7,001.82"
C5833422,"$3,495,000","219 LONSDALE RD
Toronto, Ontario M4W1W7","Above Grade
6",,"Total
5","Community Name
Forest Hill South","Land Size
40 x 110 FT ; **City Of Toronto","Annual Property Taxes
$14,212.17"
C5834429,"$6,180,000","16 BEAVERHALL DR
Toronto, Ontario M2L2C7","Above Grade
5","Below Grade
1","Total
7","Community Name
St. Andrew-Windfields","Land Size
65 x 120 FT","Annual Property Taxes
$21,517.32"
C5834690,"$2,588,000","275 REINER RD
Toronto, Ontario M3H2M5","Above Grade
4","Below Grade
1","Total
5","Community Name
Clanton Park","Land Size
50 x 165 FT","Annual Property Taxes
$5,712.67"
C5834945,"$4,788,000","216 GLENCAIRN AVE
Toronto, Ontario M4R1N2","Above Grade
4",,"Total
3","Community Name
Lawrence Park South","Land Size
50 x 174 FT","Annual Property Taxes
$15,507.64"
C5835002,"$7,988,000","215 FOREST HILL RD
Toronto, Ontario M5P2N3","Above Grade
3","Below Grade
2","Total
5","Community Name
Forest Hill South","Land Size
50 x 154.16 FT","Annual Property Taxes
$27,375.33"
C5835433,"$7,880,000","69 FIFESHIRE RD
Toronto, Ontario M2L2G9","Above Grade
5","Below Grade
1","Total
9","Community Name
St. Andrew-Windfields","Land Size
90 x 180 FT ; Pies Out To 101","Annual Property Taxes
$32,588.78"
W5835494,"$899,000","52 SNOWOOD CRT
Toronto, Ontario M3N1E8","Above Grade
3","Below Grade
1","Total
2","Community Name
Glenfield-Jane Heights","Land Size
30.12 x 121.16 FT ; Slightly Irregular","Annual Property Taxes
$2,786.80"
W5835648,"$1,799,900","2284 LAWRENCE AVE W
Toronto, Ontario M9P2A6","Above Grade
4","Below Grade
1","Total
5","Community Name
Humber Heights","Land Size
30.04 x 120.17 FT ; Large Fenced Yard","Annual Property Taxes
$7,185.08"
W5836063,"$2,088,000","71 TWENTY NINTH ST
Toronto, Ontario M8W3B1","Above Grade
4",,"Total
4","Community Name
Long Branch","Land Size
25 x 110 FT","Annual Property Taxes
$0"
C5836668,"$3,995,000","25 ROXBOROUGH ST E
Toronto, Ontario M4W1V5","Above Grade
5","Below Grade
1","Total
5","Community Name
Rosedale-Moore Park","Land Size
40 x 136 FT ; See Schedule B","Annual Property Taxes
$16,803.10"
W5836825,"$1,119,999","180 ROSETHORN AVE
Toronto, Ontario M6N3L4","Above Grade
4","Below Grade
2","Total
2","Community Name
Keelesdale-Eglinton West","Land Size
25 x 116 FT","Annual Property Taxes
$3,311.33"
W5837439,"$1,199,000","757 ST CLARENS AVE
Toronto, Ontario M6H3X2","Above Grade
4","Below Grade
1","Total
3","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
17 x 97 FT","Annual Property Taxes
$4,695.27"
